Time,Action,BE_Val0,BE_Val1,BE_Val2,LE_Val0,LE_Val1,LE_Val2
8.39,PITCH (前),-275914049,-652391233,760807901,-1075671569,-1085530663,-587114195
8.44,PITCH (前),-264304404,-655065403,765556691,-335003664,-981535528,-747134675
8.49,PITCH (前),-242397101,-664323294,770656125,1397788145,574318552,2101866285
8.54,PITCH (前),-219619857,-674957529,774919400,-270669582,670549207,-397135826
8.59,PITCH (前),-206106411,-680159888,776531210,-720324621,1888843223,183322670
8.64,PITCH (前),-203320772,-680784174,776778235,1016259059,-770806569,-72266706
8.69,PITCH (前),-195427656,-682388660,779385555,-1207805196,1284723671,-746949586
8.74,PITCH (前),-190590969,-682570216,782197401,131113972,416174295,-1721589970
8.79,PITCH (前),-185896058,-683567913,783504147,-2039223308,-678149673,324252462
8.84,PITCH (前),-178762397,-686444256,783561919,1666013429,548476375,-1087065042
8.89,PITCH (前),-168960898,-689605007,784869698,2128408053,1903617494,1110034478
8.95,PITCH (前),-162373650,-690505604,787885889,-295742730,2092488662,1093662254
9.00,PITCH (前),-157163694,-689477491,791898875,1390387702,-1922504746,-76926161
9.05,PITCH (前),-153180695,-688670884,794946250,-375005450,1555559382,-890609361
9.10,PITCH (前),-146208823,-689739027,797174035,-922269193,-311761962,334070575
9.15,PITCH (前),-136543770,-692058219,799337027,-427696905,-1794653994,1139450927
9.20,PITCH (前),-129453120,-693429523,800949723,-1061992200,-317019178,-611992273
9.25,PITCH (前),-122539159,-693945101,803017875,1764995832,-214129706,-1827349201
9.30,PITCH (前),-112939759,-695183328,804805728,296568057,542675158,1616705583
9.35,PITCH (前),-105690101,-694992416,806822718,189576185,-532573226,1042487088
9.40,PITCH (前),-100517732,-694606412,808382199,-1674050822,-1272604202,-135385552
9.45,PITCH (前),-92709995,-695122130,809727435,-1789167110,776442326,-881507536
9.50,PITCH (前),-89021114,-695560568,810128111,1185264122,-2003399978,-275625680
